Name_of_Business,Webpage,Business_Website,Description_Short,Description_Long,Description_Complete,Category,Language_Spoken,Business_Address,Business_City,Email,Phone,Facebook_Page,Instagram_Page,Source
En-I-aM,https://www.blackownedmaine.com/bom-listing/en-i-am/,https://eniamelevated.com/,"Explore soulful vibes from our Black-owned Alternative R&B artist in Portland, Maine. Unique sounds, compelling lyrics, Stream and book me.","En-I-aM is an Alternative R&B artist that is base in Portland, Maine.","En-I-aM is an Alternative R&B artist that is base in Portland, Maine. A menagerie creating collage of sound utilizing a sundry of genres emotions insanity and reality. Cursed Blessed Hood n Good Structured Spontaneity Up.…",Art & Music,English,"Portland , Maine","Portland, Maine",eniammusic@gmail.com,NA,,https://www.instagram.com/eniammusic/,Black Owned Maine
Enact Your Soul,https://www.blackownedmaine.com/bom-listing/enact-your-soul/,https://www.enactyoursoul.com/,"As a Black practitioner in Yarmouth, Maine, I offer Kundalini yoga & Shamanic energy healing. Visit for personalized soul-enriching services.","With a foundation of Kundalini yoga and Shamanic energy healing, we provide individualized services to assist you with enacting your soul.","With a foundation of Kundalini yoga and Shamanic energy healing, we provide individualized services to assist you with enacting your soul.",Holistic Wellness,English,Online Business,Online Business,Enactyoursoul@mail.com,2072001533,,,Black Owned Maine
Enodi Lola,https://www.blackownedmaine.com/bom-listing/enodi-lola/,NA,"Explore Black-owned creativity in Portland, Maine. Book Photographer, Media Planner, and Fashion Stylist for a stylish vision and planning.","Portland-based creative powerhouse: Expert photographer, videographer, media planner, and fashion stylist. Crafting visuals, stories, and style.","Portland-based creative powerhouse: Expert photographer, videographer, media planner, and fashion stylist. Crafting visuals, stories, and style.","Art & Music, Media & Podcasts","French, English","Portland, Maine","Portland, Maine",enodi.lola@yahoo.fr,2076183411,https://www.facebook.com/enodi.lola,https://instagram.com/lolaenodi,Black Owned Maine
Equity Consulting & Education,https://www.blackownedmaine.com/bom-listing/equity-consulting-education/,https://equityconsultingeducation.com/,"Embrace Black-owned consultancy in Wabanaki Territory, ME Empowering racial justice Consultation, education, advocacy, and action. Visit us.","We support communities, individuals, and institutions tackling racial justice issues across the nation by providing consultation, education, advocacy, and solution based action.","We support communities, individuals, and institutions tackling racial justice issues across the nation by providing consultation, education, advocacy, and solution based action.",Business + Consulting,English,,,equityconsultingandeducation@gmail.com,20769482682079494397,,,Black Owned Maine
Exercise Design Lab,https://www.blackownedmaine.com/bom-listing/exercise-design-lab/,https://www.exercisedesignlab.com/,"Join Black instructor Jacques in Bar Harbor, Maine, at The Exercise Design Lab for personalized, neuroscience-based fitness transformations.","The Exercise Design Lab (EDL) is an inviting, inclusive, 1,000 square foot training studio that offers novel and proven strategies to deliver the promise of exercise to the communities on Mount Desert Island, Maine and people around the globe.","We leverage advances in neuroscience and exercise science to empower you to physically and mentally excel. From athletes to laypersons, we design exercise programs that feel better and produce faster",Sports & Fitness,English,Online Business,Online Business,jacques@exercisedesignlab.com,13235789089,https://www.facebook.com/exercisedesignlab,https://instagram.com/theexercisedesignlab,Black Owned Maine
Fast Track Mobile Detailing,https://www.blackownedmaine.com/bom-listing/fast-track-mobile-detailing/,NA,"Fast Track Mobile Detailing, a Black-owned business in Lewiston that offers top-tier services like interior restoration, buff & wax etc","Fast Track Mobile Detailing offers top-tier services including full interior restoration, buff and wax, odor removal, stain removal, paint correction, scratch-free hand wash, and more. Experience professional detailing at your doorstep for a showroom-worthy finish.","Fast Track Mobile Detailing offers top-tier services including full interior restoration, buff and wax, odor removal, stain removal, paint correction, scratch-free hand wash, and more. Experience professional detailing at your doorstep for a showroom-worthy finish.",Auto Services & Repairs,English,Online Business,Online Business,abdiabdirahman37@gmail.com,2074020918,,https://www.instagram.com/fasttrackdetailing1,Black Owned Maine
Fine Grocery Store,https://www.blackownedmaine.com/bom-listing/fine-grocery-store/,NA,"Explore convenience and community at our Black-owned grocery store in Lewiston, Maine. Order with a sense of belonging.","Fine Grocery Store is a Convenience Store located at 234 Lisbon St in Lewiston, Maine.","Fine Grocery Store is a Convenience Store located at 234 Lisbon St in Lewiston, Maine.",Grocery & Convenience Stores,English,"234 Lisbon Street Lewiston , Maine","Lewiston , Maine",NA,2072127660,https://facebook.com/pages /Fine-Grocery-Store /32237..,,Black Owned Maine
Five Star Clippers,https://www.blackownedmaine.com/bom-listing/five-star-clippers/,https://booksy.com/en-us/120586_5-star-clippers_barber-shop_104496_bangor,"Visit our Black-owned Bangor, Maine barbershop. Serving neighbors with cuts, trims, fades, scissor cuts, and more. Book your session today.","Five Star Clippers is a barbershop with an easy location for all Bangor (and Brewer) neighbors in need of a clip, trim, or fade. With men’s cuts, scissor cuts, eyebrow trims, beard shaves, shampoo, kids cuts and more, 5 Star Clippers has you covered. Open for business Tuesday – Saturday from 10:00 AM to 6:00 PM. For more information or to reserve your appointment please visit their website.","Five Star Clippers is a barbershop with an easy location for all Bangor (and Brewer) neighbors in need of a clip, trim, or fade. With men's cuts, scissor cuts, eyebrow trims, beard shaves, shampoo",Beauty and Barber Shops,English,"89 Central Street Bangor, Maine","Bangor, Maine",NA,2075734246,https://www.facebook.com/Five-Star-Clippers-100578221362625,https://www.instagram.com/g_mainethebarber,Black Owned Maine
Fiya Laur,https://www.blackownedmaine.com/bom-listing/fiya-laur/,https://www.fiyalaur.com,Discover unique jewelry at our Black-owned online store in Maine. Your go-to destination for exquisite pieces. Shop now & elevate your style.,"Fiya Laur is an online jewelry store. We offer a diverse amount of jewelry that can be worn by anyone or styled, however. We want to provide people who want beautiful and well-crafted jewelry at a reasonable/affordable price.","Fiya Laur is an online jewelry store. We offer a diverse amount of jewelry that can be worn by anyone or styled, however. We want to provide people who want beautiful and well-crafted jewelry.",Apparel & Accessories,"English, Somali",Online Business,Online Business,fiyalaurinfo@gmail.com,2075364644,https://www.facebook.com/fiyalaurr/,https://instagram.com/fiyalaur/,Black Owned Maine
FKL Cleaning Services,https://www.blackownedmaine.com/bom-listing/fkl-cleaning-services/,https://fklcleaningservices.com/,"Contact us for spotless spaces, Black-owned cleaning service in Westbrook, Maine. Professional, reliable, eco-friendly. Book us around Maine.","FKL Cleaning Service and Sells LLC provides Commercial/Residential Cleaning Services in Westbrook, Portland,South Portland Gorham, Scarborough, Saco, Biddeford, Yarmouth, Cumberland, and Surrounding areas. We pride ourselves on providing professional customer care. Making our customers happy is our Happiness. Since opening our doors, we’ve been committed to providing service of the highest quality, paying particular attention to working efficiently while keeping the lines of communication with our clients clear and concise. Our mission is simple: to provide high-quality services in a timely manner. Our team caters to each project’s specific needs to ensure excellence. We hope you’ll find what you’re looking for. For more information or general inquiries, feel free to get in touch today.","FKL Cleaning Service and Sells LLC provides Commercial/Residential Cleaning Services in Westbrook, Portland,South Portland Gorham, Scarborough, Saco, Biddeford, Yarmouth, Cumberland, and Surrounding areas. We pride ourselves on providing professional customer care. Making our customers happy…",Home & Commercial,English,"199 Forest St Westbrook , Maine","Westbrook , Maine",fklcleaningservice@gmail.com,2074095286,https://www.facebook.com/fklcleaning,,Black Owned Maine
Fogbreaker Studios,https://www.blackownedmaine.com/bom-listing/fogbreaker-studios/,https://ko-fi.com/fogbreakerstudios/,"Explore the world's essence through our Black-owned artist in Auburn, Maine. Contact him for creative storytelling and unique writing style.","A writer and artist based out of Auburn, ME. Jason uses his pen to describe what he sees in the world around him with a writing style that can paint any mood.","A writer and artist based out of Auburn, ME. Jason uses his pen to describe what he sees in the world around him with a writing style that can paint any mood.",Art & Music,English,Online Business,Online Business,fogbreakerstudios@gmail.com,NA,https://www.facebook.com/jasonalexander,https://www.instagram.com/fogbreakerstudios/,Black Owned Maine
Food For All Services,https://www.blackownedmaine.com/bom-listing/food-for-all-services/,https://www.africanmarketmaine.com/,"Discover Black-owned catering, delivering African delights to new Mainers. Accepts cash, credit. Order online . Serving Portland and environ.","African mobile food market, specializing in serving African based food supplies to new Mainers. Grocery items are dropped off where you live. We accept cash, credit card, SNAP, and city vouchers.","African mobile food market, specializing in serving African based food supplies to new Mainers. Grocery items are dropped off where you live. We accept cash, credit card, SNAP, and city vouchers.","Catering, Grocery & Convenience Stores","Lingala, French, Swahili, English","Portland, Maine","Portland, Maine",foodforallservices@gmail.com,2079009597,,,Black Owned Maine
Food Point Brazilian Steakhouse,https://www.blackownedmaine.com/bom-listing/food-point-brazilian-steakhouse/,https://foodpointgrill.com/,NA,"At Food Point Brazilian Buffet, we celebrate the rich and vibrant flavors of Brazil in every dish we serve. Our commitment to authentic Brazilian cuisine ensures that you’ll enjoy not only our mouthwatering selections but also the warm, welcoming atmosphere that defines Brazilian gatherings. Join us in savoring the diverse and delicious tapestry of Brazilian food, crafted with passion and shared with pride.","At Food Point Brazilian Buffet, we celebrate the rich and vibrant flavors of Brazil in every dish we serve. Our commitment to authentic Brazilian cuisine ensures that you'll enjoy not only our mouthwatering selections but…",Restaurants,English,"413 Main St Lewiston, Maine","Lewiston, Maine",contact@tangerine.com,2072412717,https://www.facebook.com/profile.php?id=61557036965479,,Black Owned Maine
Foodie Friends,https://www.blackownedmaine.com/bom-listing/foodie-friends/,NA,NA,"Foodie Friends Grocery Restaurant is an authentic Middle Eastern market and halal store located in Portland, ME. They offer a wide variety of products and foods from different countries, including spices, fresh meats, desserts, perfumes, and hygiene supplies. With a friendly atmosphere and courteous staff, this market is known for its delicious fresh baked breads and eclectic selection of items. Whether you’re looking to restock your pantry or enjoy a hot takeout meal, Foodie Friends Grocery Restaurant is the go-to destination for Middle Eastern products in Maine.","Foodie Friends Grocery Restaurant is an authentic Middle Eastern market and halal store located in Portland, ME. They offer a wide variety of products and foods from different countries, including spices, fresh meats, desserts, perfumes,…",Restaurants,English,"630 Forest Ave Portland, Maine","Portland, Maine",foodiefriends630@gmail.com,2077912600,https://www.facebook.com/foodiefriends630/,https://www.instagram.com/foodiefriends_portland,Black Owned Maine
Four Cardinal Points,https://www.blackownedmaine.com/bom-listing/four-cardinal-point/,http://www.fourcardinalpointsgroup.com/,"Visit Four Cardinal point in Portland, Maine a Black-owned nonprofit alleviating poverty, suffering, and injustice in vulnerable communities.",FOUR CARDINAL POINTS is a humanitarian relief and development organization that works with vulnerable communities to alleviate poverty suffering and injustice.,FOUR CARDINAL POINTS is a humanitarian relief and development organization that works with vulnerable communities to alleviate poverty suffering and injustice.,Nonprofits,"English, French","Portland , Maine","Portland, Maine",claudelajoie16@gmail.com,2075183940,https://m.facebook.com/people/Four-cardinal-points/100080627594752/,,Black Owned Maine
Fourth Friday,https://www.blackownedmaine.com/bom-listing/fourth-friday/,NA,"Join us in Maine for a Black-owned BIPOC happy hour, freeform networking, complimentary food, and beverages. Bring friends and authenticity.","Fourth Friday is inclusive BIPOC happy hour. Freeform networking with complimentary food and beverages. Bring friends, bring conversation and bring your authentic self. Check out our Instagram or BOM event’s calendar for a list of upcoming happy hours.","Fourth Friday is inclusive BIPOC happy hour. Freeform networking with complimentary food and beverages. Bring friends, bring conversation and bring your authentic self. Check out our Instagram or BOM event's calendar for a list of…",Cultural Organizations,English,,,floedwards@gmail.com,2072727637,,https://instagram.com/fourthfridayme,Black Owned Maine
Fred's Fried Dough,https://www.blackownedmaine.com/bom-listing/freds-fried-dough/,NA,"Indulge in vegan fried dough from our Black-owned cart in Portland, Maine. Book us for your events—call or email to secure your order.","We are a mobile fried dough cart that provides vegan fried dough in Portland, Maine. Catch us in various locations around the city or outside your favorite bar or brewery. We are also available to cater your wedding, corporate event, or other event. Contact us by phone or email to secure your booking!","We are a mobile fried dough cart that provides vegan fried dough in Portland, Maine. Catch us in various locations around the city or outside your favorite bar or brewery.",Food Trucks,English,Online Business,Online Business,fredsfrieddough@gmail.com,8457079007,http://facebook.com/fredsfrieddough,https://www.instagram.com/fredsfrieddough/,Black Owned Maine
Fresh Cutz,https://www.blackownedmaine.com/bom-listing/fresh-cutz/,https://www.ringmybarber.com/barber-profile/terry-kalama,"Book our Black-owned Auburn, Maine barbershop and braiding salon. Fades, regular cut, blowouts, box braid, loc maintenance, cornrows, & more.","Fresh Cutz is a barbershop and braiding salon that offers many services to their customers. They offer anything from fades, blowouts, box braids, loc maintenance, cornrows, and regular cuts. Not only do they service children and seniors but they also have a shop where they sell products. Some of their products include oils, blow dryers, hand creams, soap, shampoo and many more.","Fresh Cutz LLC is a barbershop that offers many services to their customers. They offer anything from fades, blowouts, and regular cuts. Not only do they service children and seniors",Beauty and Barber Shops,English,"62 Spring Street Suite 1 Auburn, Maine","Auburn, Maine",NA,2072410468,https://www.facebook.com/FreshCutz123/,https://www.instagram.com/freshcutz_auburn/,Black Owned Maine
G Painting and Services,https://www.blackownedmaine.com/bom-listing/g-painting-and-services/,https://www.gpaintingandservices.com/,"Explore Black home services in Portland, Maine. Contact us for interior, exterior work, painting, repairs, cleaning. Your project our work.","G Painting and Services offers a variety of interior and exterior work for both commercial and residential settings. Our services include painting, repairs, cleaning, demolition, remodeling, among others. G Painting and Services works throughout the Southern Maine area but also in areas of Downeast, Central Maine and New Hampshire.","G Painting and Services offers a variety of interior and exterior work for both commercial and residential settings. Our services include painting, repairs, cleaning, demolition, remodeling e.t.c",Home & Commercial,"English, French, Portuguese",Online Business,Online Business,Gpaint30@gmail.com,2072728192,https://www.facebook.com/gpaintingandservices/,,Black Owned Maine
Gateway Community Resources (Lewiston),https://www.blackownedmaine.com/bom-listing/gateway-community-resources-lewiston/,https://gcsmaine.org/,"Join a Black community-led non-profit in Lewiston supporting immigrant & refugee wellbeing, dedicated to improving mental health in Maine.","GCSM is a non-profit organization created to support the wellbeing of immigrants and refugees. It was founded in order to help improve the mental health status of people in Maine. GCSM offers support while creating opportunities for connection between immigrant, refugee, and asylee community members and their neighbors. They provide community support, counseling, case management and specialized services designed for all people, including refugees and immigrants, who have experienced trauma. They have offices in Portland, Lewiston, Augusta, and Biddeford. For more information about specific programming and services please visit their website.",GCSM is a non-profit organization created to support the wellbeing of immigrants and refugees. It was founded in order to help improve the mental health status of people in Maine. GCSM offers support,"Mental Health, Nonprofits","English, Arabic, Kirundi, Kinyarwanda, French, Somali","124 Canal Street Lewiston, Maine","Lewiston, Maine",info@gatewaycommunityservices.org,2075365999,https://www.facebook.com/GatewayCommunityServicesMaine,https://instagram.com/gatewaycsmaine,Black Owned Maine
Gateway Community Resources (Portland),https://www.blackownedmaine.com/bom-listing/gateway-community-resources-portland/,https://gcsmaine.org/,"Join a Black community-led non-profit in Portland supporting immigrant & refugee wellbeing, dedicated to improving mental health in Maine.","GCSM is a non-profit organization created to support the wellbeing of immigrants and refugees. It was founded in order to help improve the mental health status of people in Maine. GCSM offers support while creating opportunities for connection between immigrant, refugee, and asylee community members and their neighbors. They provide community support, counseling, case management and specialized services designed for all people, including refugees and immigrants, who have experienced trauma. They have offices in Portland, Lewiston, Augusta, and Biddeford. For more information about specific programming and services please visit their website.",GCSM is a non-profit organization created to support the wellbeing of immigrants and refugees. It was founded in order to help improve the mental health status of people in Maine. GCSM offers support,"Cultural Organizations, Mental Health, Nonprofits","Somali, English, Arabic","501 Forest Ave Portland, Maine","Portland, Maine",info@gatewaycommunityservices.org,2075361590,https://www.facebook.com/GatewayCommunityServicesMaine,https://instagram.com/gatewaycsmaine,Black Owned Maine
Gateway Community Services (Augusta),https://www.blackownedmaine.com/bom-listing/gateway-community-services-augusta/,https://gcsmaine.org/,NA,"GCSM is a non-profit organization created to support the wellbeing of immigrants and refugees. It was founded in order to help improve the mental health status of people in Maine. GCSM offers support while creating opportunities for connection between immigrant, refugee, and asylee community members and their neighbors. They provide community support, counseling, case management and specialized services designed for all people, including refugees and immigrants, who have experienced trauma. They have offices in Portland, Lewiston, Augusta, and Biddeford. For more information about specific programming and services please visit their website.",GCSM is a non-profit organization created to support the wellbeing of immigrants and refugees. It was founded in order to help improve the mental health status of people in Maine. GCSM offers support,Mental Health,"English, Arabic, Kirundi, Kinyarwanda, French, Somali","12 Shuman Ave Unit 8 Augusta, Maine","Augusta, Maine",info@gatewaycommunityservices.org,2074575714,https://www.facebook.com/GatewayCommunityServicesMaine,https://instagram.com/gatewaycsmaine,Black Owned Maine
Generational Noor,https://www.blackownedmaine.com/bom-listing/generational-noor/,https://www.generationalnoor.com/,"Join Generational Noor, a Black-owned initiative in Lewiston, Maine, shedding lights, destigmatizing substance abuse for rehab & recovery.","Addiction not only affects you but your whole family, We aim to give a path for generational healing by breaking cycles and forging a path for future generations.","Addiction not only affects you but your whole family, We aim to give a path for generational healing by breaking cycles and forging a path for future generations.",Nonprofits,"English, Somali","83 Chestnut St Lewiston , Maine","Lewiston , Maine",amran.osman@generationalnoor.com,2074057225,https://www.facebook.com/GenerationalNoor/,https://instagram.com/generationalnoor,Black Owned Maine
Genius Black,https://www.blackownedmaine.com/bom-listing/genius-black/,NA,"Discover a Black-owned social innovator, entrepreneur, and musical artist in Portland, Maine. He's a Master storyteller. Contact him today.","Genius Black, also known as Jerry Edwards, is a social innovator, entrepreneur, and musical artist based in South Portland, Maine. Naturally a storyteller and motivator, he focuses on collaboration and audio/ video production as a craft.","Genius Black, also known as Jerry Edwards, is a social innovator, entrepreneur, and musical artist based in South Portland, Maine. Naturally a storyteller and motivator, he focuses on collaboration and audio/ video production as a…","Art & Music, Media & Podcasts",English,"South Portland, Maine","Portland, Maine",geniusblack7@gmail.com,2074499245,,https://instagram.com/realgeniusblack,Black Owned Maine
Gil Corral . Mindfulness Guide,https://www.blackownedmaine.com/bom-listing/gil-corral-mindfulness-guide/,https://gil-corral-mindfulness.squarespace.com,"Discover mindfulness meditation with a Black holistic wellness guide in Biddeford, Maine. Visit us for mindful sessions and positive tools.","I facilitate and guide mindfulness meditation and present moment awareness sessions — working with techniques developed to promote positive personal benefits of mindfulness and meditation. Sessions will focus on the individual experience and techniques taught are positive tools for coping, stress management, and general well being.",Certified Mindfulness Meditation Guide,"Holistic Wellness, Mental Health","English, Spanish","Biddeford , Maine","Biddeford , Maine",gilcorral@me.com,19716459709,,https://instagram.com/hogfarmstudios,Black Owned Maine
Global Halal Market,https://www.blackownedmaine.com/bom-listing/global-halal-market/,NA,"Visit and order from our Black-owned Lewiston, Maine grocery & convenience store we sell Halal meat, international foods, & fashion clothing.","Grocery convenience store that sells food and non-food items, some examples are Halal meat, international foods, and fashion clothing. It is runned by Firdowsa Hassan Ali.","Grocery convenience store that sells food and non-food items, some examples are Halal meat, international foods, and fashion clothing. It is runned by Firdowsa Hassan Ali.",Grocery & Convenience Stores,"Somali, English","267 Lisbon Street Lewiston, Maine","Lewiston, Maine",NA,2077869000,,,Black Owned Maine
Glory Store,https://www.blackownedmaine.com/bom-listing/glory-store/,NA,"Visit and order from our Black-owned Portland, Maine Africa grocery store – a hub for local food, beauty, and health products.","Glory Store is an African grocery store located in Portland.  The Glory store carries goods native to Burundi, Rwandan, Kenyan, and Ugandan cultures, but they also sell local goods from around Maine. Their goods are not only limited to food products but they also sell products centered around beauty and health. For more information on the goods they carry and their hours check out their Facebook.","Glory Store is an African grocery store located in Portland.  The Glory store carries goods native to Burundi, Rwandan, Kenyan, and Ugandan cultures, but they also sell local goods from around Maine. Their goods are…",Grocery & Convenience Stores,"English, Kirundi, Kinyarwanda","625 Forest Ave Portland, Maine","Portland, Maine",glorystore625@gmail.com,NA,https://www.facebook.com/pages/category/Fish-Market/Glory-Store-LLC-111267647085104/,,Black Owned Maine
Go See Tyce,https://www.blackownedmaine.com/bom-listing/go-see-tyce/,https://www.goseetycebbq.com/,"Visit Tyce's, Saco's favorite Black-owned Jamaican take-out spot. Order now for a taste of Jamaica in Maine,if you think Jamaica think tyce.","Saco, Maine’s favorite Jamaican take-out spot. Want Jamaican? Go See Tyce!",A Jamaican BBQ Pit,Restaurants,English,"810 Portland Rd, Saco, Maine","Saco, Maine",goseetyce@gmail.com,2074948025,https://www.facebook.com/GoSeeTyce/,http://www.instagram.com/goseetycebbq,Black Owned Maine
Good Helper Foundation,https://www.blackownedmaine.com/bom-listing/good-helper-foundation/,https://good-helper-foundation.org/,"Support a Black-owned initiative in Gorham, Maine promoting human rights, providing shelter, and supporting global partnerships for hope.",Their objective is to promote and teach human rights in our community school and company’s.,Their objective is to promote and teach human rights in our community school and company's. Provide temporary shelter to people in need clean house for people with disability and for veterans in needs. Support those…,Nonprofits,English,"26 state street Suite 1 Gorham , Maine","Gorham , Maine",info@good-helper-foundation.org,2074091594,,,Black Owned Maine
Good Look'n Events and Styling,https://www.blackownedmaine.com/bom-listing/good-lookn-events-and-styling/,https://www.goodlookn.com/,"Contact us for unique event design! Good Look'n, a Black event planner in Portland, Maine, crafts romantic and memorable wedding experiences.",Good Look’n provides event design and wedding planning services across New England. We believe in the spirit of craftsmanship and value the innovation of local goods and artistry to aid in the development of our designs. Romantic and thoughtful with an audacious spirit. We create alternative wedding day experiences to be shared and made memorable by you and those you love.,Good Look'n provides event design and wedding planning services across New England. We believe in the spirit of craftsmanship and value the innovation of local goods and artistry to aid in the development of our…,Weddings & Events,English,"Portland, Maine","Portland, Maine",danielle@goodlookn.com,2073335015,,http://instagram.com/good.lookn,Black Owned Maine
Goshen Supermarket,https://www.blackownedmaine.com/bom-listing/goshen-supermarket/,NA,"Visit and order your groceries at our Black-owned Lewiston, Maine store. We are your destination for groceries and beauty supplies in Maine.",Grocery Items and Beauty Supply,Grocery Items and Beauty Supply,Grocery & Convenience Stores,English,"179 Lincoln Street Lewiston, Maine","Lewiston, Maine",NA,2077846000,,,Black Owned Maine
Graphic Melee,https://www.blackownedmaine.com/bom-listing/graphic-melee/,https://graphicmelee.com/,"Embrace raw Hip-Hop passion with Black-owned talent in Portland, Maine. Producer, DJ, Audio Engineer crafting soul-healing beats. Book now.","Emcee, Producer, DJ, Audio Engineer. It’s Hip-Hop. It’s more than just music. Heal the soul if you know how to use it. Heavy beats, dusty vinyl, and dirty synthesizers are my specialties. I’m an emcee, producer, and DJ dedicated to my craft and I make raw Hip-Hop","Emcee, Producer, DJ, Audio Engineer. ""It's Hip-Hop. It's more than just music. Heal the soul if you know how to use it."" ""Heavy beats, dusty vinyl, and dirty synthesizers are my specialties.",Art & Music,English,"Portland, Maine","Portland, Maine",graphicmelee@gmail.com,NA,https://www.facebook.com/GraphicMelee,https://instagram.com/graphicmelee,Black Owned Maine
Greater Portland Immigrant Welcome Center,https://www.blackownedmaine.com/bom-listing/greater-portland-immigrant-welcome-center/,https://www.welcomeimmigrant.org/,"Join a Black community hub fostering collaboration in Portland Maine, for language acquisition, economic integration, and civic engagement.","The Greater Portland Immigrant Welcome Center serves as a hub of collaboration that strengthens the immigrant community through language acquisition, economic integration and civic engagement. We do this through four main programs: a co-working hub dedicated to immigrant run organizations and groups that support immigrants, the iEnglish Project: a digital language literacy program, the Immigrant Business Hub, and a Citizenship and Civic Engagement Initiative.","The Greater Portland Immigrant Welcome Center serves as a hub of collaboration that strengthens the immigrant community through language acquisition, economic integration and civic engagement. We do this through four main programs: a co-working hub…","Cultural Organizations, Nonprofits","French, English, Arabic, Portuguese","24 Preble Street 3rd Floor Portland, Maine","Portland, Maine",info@welcomeimmigrant.org,2075173401,https://www.facebook.com/welcomeimmigrant,https://instagram.com/welcomeimmigrant,Black Owned Maine
Green Memorial African Methodist Episcopal Zion Church,https://www.blackownedmaine.com/bom-listing/green-memorial-african-methodist-episcopal-zion-church/,https://www.givelify.com/givenow/1.0/MTAwNDg=/selection,"Visit us at Green Memorial Africa Methodist zion to worship God, the oldest Black-owned church in the U.S., built in 1914 in Portland, Maine.","Built in 1914, Green Memorial is the oldest African-American church in the country. Named after an escaped slave: Moses Green. Located in Portland’s eastern Munjor hill neighborhood.","Built in 1914, Green Memorial is the oldest African-American church in the country. Named after an escaped slave: Moses Green.",Religious Organizations,English,"46 Sheridan Street Portland, Maine","Portland, Maine",revkilewis@aol.com,2077721409,https://www.facebook.com/GreenAMEZ,https://instagram.com/greenmemorialamezion,Black Owned Maine
Greg O'Connor Visual,https://www.blackownedmaine.com/bom-listing/greg-oconnor-visual/,https://www.gregoconnor.art/,"Book your adventure with Black-owned photographer & videographer in Westbrook, Maine. Capturing brilliance, lifestyle moments & storytelling.","Videography/photography started as a hobby for me and has grown into a true passion. I grew up in China Maine, and love capturing compelling visuals of the state I love. I’m based out of Southern Maine and I specialize in adventure, commercial, and lifestyle content. Take a look at my Instagram and feel free to reach out with any questions. I’d love to help bring your vision to life!","Videography/photography started as a hobby for me and has grown into a true passion. I grew up in China Maine, and love capturing compelling visuals of the state I love. I'm based out of Southern Main",Art & Music,English,"Westbrook, Maine","Westbrook, Maine",gregoconnorvisual@gmail.com,2078380868,,https://instagram.com/gregoconnorvisual,Black Owned Maine
GWani Styles Barbershop,https://www.blackownedmaine.com/bom-listing/gwani-styles-barbershop/,https://booksy.com/en-us/498925_gwani-styles-barbershop_barber-shop_104666_portland,"Visit our Black-owned barbershop in Portland, Maine. Specializing in Afros, Caesars, and Fades and nice haircut. Book us for expert haircuts.",The founder of GWani Styles wanted to create a barber shop that provides great quality haircuts and a family friendly environment.,"The founder of GWani Styles wanted to create a barber shop that provides great quality haircuts and a family friendly environment.

Specializing in: Afros, Caesars, Fades",Beauty and Barber Shops,English,"1041 Brighton Ave Suite 10B Portland, Maine","Portland, Maine",gwanistyles@gmail.com,2078088621,https://www.facebook.com/gwanistyles,https://www.instagram.com/gwanistyles,Black Owned Maine
Habibo Noor,https://www.blackownedmaine.com/bom-listing/habibo-noor/,NA,"Join us at Whole Foods Market Farmstand and Fresh Start Farms Market for exceptional, locally sourced produce by black farmer in Lewiston ME.",Participates in the Whole Foods Market Farmstand and the Fresh Start Farms Market,Participates in the Whole Foods Market Farmstand and the Fresh Start Farms Market,Farming,NA,"Lisbon, Maine","Lisbon, Maine",info@cultivatingcommunity.org,NA,,,Black Owned Maine
"Hagenimana Law, PLLC",https://www.blackownedmaine.com/bom-listing/hagenimana-law-pllc/,http://www.hagenimanalaw.com/,"Empowering your immigration journey with Black-owned expertise in Portland, ME. Visit us for personalize support & open doors to opportunity.","Felix Hageniamana is Immigration lawyer in Portland ME. His law firm Hagenimana Law specializes in immigration law. He has previously worked as a linguist, translator, and consultant for the BBC and a student attorney in the Refugee and Human Rights Clinic. A graduate of the University of Maine Law School, Felix works as an Asylum Outreach Attorney at the Immigrant Legal Advocacy Project (ILAP) in addition to managing his own law firm.","Felix Hageniamana is Immigration lawyer in Portland ME. His law firm Hagenimana Law specializes in immigration law. He has previously worked as a linguist, translator, and consultant for the BBC and a student attorney in…","Attorneys & Law Firms, Business + Consulting","English, Kinyarwanda, Kirundi, French","24 Preble Street Portland , Maine","Portland, Maine",info@hagenimanalaw.com,2075173410,,,Black Owned Maine
Happy Little Paradise Childcare Cooperative,https://www.blackownedmaine.com/bom-listing/happy-little-paradise-childcare-cooperative/,https://happylittleparadise.wordpress.com/,"Support quality child care in Lewiston, Maine. Choose our Black-owned services for nurturing support and a caring environment to shape them.",Elsa Jose – Board President,Elsa Jose – Board President Elsa Jose is a rising childcare business owner and the President of the Board of Directors for Happy Little Paradise Childcare. She is from Angola/Luanda. Elsa is passionate about caring…,"Childcare, Nonprofits","English, Portuguese, Kikongo, Lingala","Lewiston , Maine","Lewiston , Maine",NA,NA,https://www.facebook.com/happylittleparadise,https://instagram.com/happylittleparadiseccc,Black Owned Maine
